,0,1
292,-0.25079086,-0.22476146
293,-0.1725694,-0.21627487
294,-0.1910415,-0.20718849
295,0.08243451,0.0342224
296,-0.32730648,-0.6286307
297,-0.44687444,-0.2374123
298,-0.19460508,-0.37299615
299,2.1297684,3.4387016
300,-0.31700054,-0.30497175
301,0.6280788,0.579673
302,-0.17972207,-0.19833225
303,15.778087,15.663833
304,23.994385,21.800629
305,0.5368258,0.8819483
306,0.5317413,2.3477273
307,0.8242684,0.7035205
308,2.3396387,4.0828304
309,0.06619492,-0.24494052
310,19.179958,23.215044
311,-0.19970827,-0.17959398
312,-0.1570145,0.011975658
313,-0.074398085,-0.26927492
314,2.9566326,4.019675
315,0.026704002,0.0522635
316,0.23655432,-0.23403302
317,0.04874095,0.041294266
318,1.853325,3.2383559
319,0.12761253,-0.013664653
320,-0.24988227,-0.11708722
321,1.017813,1.7060661
322,0.1636073,-0.029530311
323,3.0938373,4.00786
324,0.413526,-0.0062395553
325,4.799889,5.6501875
326,0.6526287,0.7472004
327,-0.44841263,-0.2458832
328,-0.35154685,-0.27826712
329,0.043366227,-0.04612242
330,-0.3260286,-0.19514349
331,-0.076685734,-0.105725504
332,1.8362352,2.7535172
333,-0.46376985,-0.4078752
334,-0.35529116,-0.19173281
335,0.44372913,0.7621862
336,-0.41665992,-0.13092731
337,1.3001668,2.7628098
338,7.302311,8.098116
339,0.30549908,0.43721032
340,1.6528506,2.3326
341,0.91009086,0.97734493
342,-0.1958712,-0.2810138
343,0.47677848,0.50385565
344,0.154213,0.08014918
345,2.8036916,4.9612827
346,-0.22073457,-0.07099739
347,-0.0138607165,-0.042174384
348,11.141021,11.891703
349,-0.037273675,0.13676794
350,-0.074190244,-0.17448525
351,0.07430829,0.10537309
352,4.609244,5.3512096
353,-0.11759817,-0.07758256
354,0.7022313,0.98036706
355,-0.2256558,-0.44544312
356,-0.30100036,-0.2658457
357,-0.12322033,0.5237939
358,-0.38254818,-0.21106873
359,-0.12239736,0.17879164
360,2.029384,3.0139887
361,0.5880882,0.79459333
362,13.562737,13.095708
363,-0.08281296,-0.023430385
364,2.4428205,3.6741996
365,-0.49436545,-0.1212497
366,-0.42094657,-0.22738183
367,0.11616839,0.019357225
368,-0.104940355,-0.00017174207
369,1.0619439,1.3199562
370,1.3414505,1.8894557
371,30.186312,27.071695
372,-0.21238516,-0.31057966
373,10.704821,13.880958
374,13.939052,14.098404
375,1.6344337,2.3420606
376,-0.24065281,-0.2717697
377,0.760936,1.8362968
378,-0.15828955,0.28834447
379,1.8678526,2.8981142
380,3.339674,6.8551397
381,16.954987,15.174839
382,3.8916519,9.1996975
383,1.3545941,2.0624187
384,3.9653213,6.0723367
385,-0.40611207,-0.24296847
386,-0.14356352,-0.22458342
387,0.17900875,-0.008532736
388,0.40478536,0.6545976
389,7.934683,10.89678
390,-0.29186368,-0.19814351
391,1.0219922,1.5333008
392,14.669823,17.169243
393,0.4248417,-0.23815197
394,28.71539,30.019104
395,-0.2202395,-0.39612314
396,-0.6564939,-0.57175434
397,-0.4824762,-0.22749637
398,15.004484,17.84027
399,5.950827,8.318401
400,-0.25608477,-0.19336447
401,-0.0522161,-0.030552555
402,-0.1584089,-0.7974794
403,0.27159393,0.4207752
404,0.1892749,0.15039144
405,-0.18613759,-0.059048723
406,5.924288,6.8105774
407,-0.2544397,-0.23505098
408,0.24520381,0.07359683
409,-0.054049183,0.03702974
410,-0.39899436,-0.2507386
411,8.692712,10.758142
412,-0.29777253,-0.20897786
413,-0.20483911,-0.14811207
414,0.33740756,-0.048879445
415,4.0695066,7.19794
416,-0.13028221,-0.2139742
417,-0.2330163,-0.1152272
418,0.043614563,0.091146246
419,1.7746364,2.6646707
420,6.3212757,8.628743
421,0.5732091,0.9467889
422,0.07744086,-0.0018255297
423,15.343927,15.34362
424,-0.6050545,-0.35834506
425,0.03394338,0.053571545
426,1.7053918,2.1784136
427,0.745998,1.0054326
428,0.045886334,0.045398228
429,-0.061875507,-0.111080065
430,-0.43213558,-0.1924382
431,13.079392,13.247568
432,-0.3335791,-0.17072418
433,1.8874283,3.1524794
434,4.132093,6.1247854
435,-0.16363394,-0.10467508
436,0.4287726,-0.20437402
437,2.0336049,3.1416361
438,3.9354074,4.1877537
